Site	Plot	Lon	Lat	Alt	NDVI	SD	Stability	MAP	MAT	MAP_2010	MAT_2010	NDVI_2010	MAP_2011	MAT_2011	NDVI_2011	NDVI_2010_2011	ANPP_2010_2011	Soil_pH	SOC	TSN	TSP	SST	Plant_alpha	Plant_beta	Plant_gama	SB_alpha	SB_beta	SB_gama	Nema_alpha	Nema_beta	Nema_gama	Ba_alpha	Ba_beta	Ba_gama	Fu_alpha	Fu_beta	Fu_gama	AB_alpha	AB_beta	PB_alpha	PB_beta	PF_alpha	PF_beta	PR_alpha	PR_beta	SS_alpha	SS_beta	BF_alpha	BF_beta	FF_alpha	FF_beta	RF_alpha	RF_beta	OC_alpha	OC_beta	ECM_alpha	ECM_beta	Path_alpha	Path_beta	Sap_alpha	Sap_beta
S17 	P2	111.82900 	43.75300 	960.30000 	0.14700 	0.02100 	7.15500 	149.74600 	5.82700 	156.69127 	6.00417 	0.14947 	129.82141 	5.87933 	0.12294 	0.12294 	8.62000 	7.00447 	1.49000 	0.03700 	0.02200 	-1.48000 	6.00000 	0.73684 	11.00000 	-1.46251 	1.20896 	-1.57430 	3.00000 	1.00000 	6.00000 	2674.00000 	0.91595 	6755.00000 	176.00000 	1.07203 	326.00000 	4.00000 	1.14286 	0.00000 	0.50000 	1.00000 	1.00000 	0.00000 	0.00000 	1.00000 	0.20000 	3.00000 	0.71429 	0.00000 	2.00000 	0.00000 	0.00000 	0.00000 	0.00000 	2.00000 	1.25000 	34.00000 	0.61321 	96.00000 	0.89420 
S17 	P3	111.82900 	43.75300 	960.30000 	0.14700 	0.02100 	7.15500 	149.74600 	5.82700 	156.69127 	6.00417 	0.14947 	129.82141 	5.87933 	0.12294 	0.12294 	9.73000 	7.10921 	1.78300 	0.12100 	0.02200 	-1.42200 	7.00000 	0.73684 	11.00000 	-1.45766 	1.20896 	-1.57430 	5.00000 	1.00000 	6.00000 	2704.00000 	0.91595 	6755.00000 	133.00000 	1.07203 	326.00000 	2.00000 	1.14286 	2.00000 	0.50000 	1.00000 	1.00000 	0.00000 	0.00000 	2.00000 	0.20000 	3.00000 	0.71429 	2.00000 	2.00000 	0.00000 	0.00000 	0.00000 	0.00000 	2.00000 	1.25000 	34.00000 	0.61321 	92.00000 	0.89420 
S18 	P1	111.18600 	44.08300 	1147.00000 	0.11900 	0.01900 	6.17400 	149.51900 	4.65300 	151.79820 	4.82825 	0.11113 	138.77224 	4.67450 	0.10774 	0.10774 	9.89000 	7.84631 	4.30700 	0.18200 	0.06900 	-0.93400 	10.00000 	0.65517 	16.00000 	-0.14141 	-0.70473 	-0.36617 	4.00000 	0.71429 	8.00000 	6871.00000 	0.58398 	10694.00000 	295.00000 	0.70696 	466.00000 	4.00000 	0.71429 	2.00000 	0.20000 	2.00000 	0.80000 	1.00000 	0.00000 	1.00000 	2.00000 	3.00000 	0.87500 	1.00000 	0.20000 	0.00000 	2.00000 	0.00000 	0.00000 	0.00000 	1.76923 	52.00000 	0.66667 	123.00000 	0.58612 
S18 	P2	111.18600 	44.08300 	1147.00000 	0.11900 	0.01900 	6.17400 	149.51900 	4.65300 	151.79820 	4.82825 	0.11113 	138.77224 	4.67450 	0.10774 	0.10774 	9.61000 	8.07933 	5.41300 	0.33100 	0.08000 	-0.74400 	11.00000 	0.65517 	16.00000 	-0.25272 	-0.70473 	-0.36617 	4.00000 	0.71429 	8.00000 	6576.00000 	0.58398 	10694.00000 	279.00000 	0.70696 	466.00000 	5.00000 	0.71429 	1.00000 	0.20000 	3.00000 	0.80000 	1.00000 	0.00000 	1.00000 	2.00000 	2.00000 	0.87500 	2.00000 	0.20000 	0.00000 	2.00000 	0.00000 	0.00000 	9.00000 	1.76923 	54.00000 	0.66667 	150.00000 	0.58612 
S18 	P3	111.18600 	44.08300 	1147.00000 	0.11900 	0.01900 	6.17400 	149.51900 	4.65300 	151.79820 	4.82825 	0.11113 	138.77224 	4.67450 	0.10774 	0.10774 	8.53000 	8.38394 	4.30700 	0.35300 	0.07700 	-0.81300 	8.00000 	0.65517 	16.00000 	-0.17774 	-0.70473 	-0.36617 	6.00000 	0.71429 	8.00000 	6807.00000 	0.58398 	10694.00000 	245.00000 	0.70696 	466.00000 	5.00000 	0.71429 	2.00000 	0.20000 	0.00000 	0.80000 	1.00000 	0.00000 	0.00000 	2.00000 	3.00000 	0.87500 	2.00000 	0.20000 	1.00000 	2.00000 	0.00000 	0.00000 	4.00000 	1.76923 	56.00000 	0.66667 	145.00000 	0.58612 
S19 	P1	110.72800 	44.49900 	963.40000 	0.13300 	0.01900 	7.13100 	133.01100 	5.19000 	131.38990 	5.38333 	0.13071 	132.55187 	5.18242 	0.11841 	0.11841 	9.83000 	7.84631 	3.77700 	0.28100 	0.05400 	-1.02200 	7.00000 	0.95000 	13.00000 	-1.04289 	0.03265 	-0.89032 	1.00000 	1.00000 	4.00000 	3139.00000 	0.71207 	8408.00000 	325.00000 	0.69725 	555.00000 	5.00000 	0.50000 	1.00000 	2.00000 	1.00000 	1.00000 	0.00000 	0.00000 	0.00000 	1.40000 	1.00000 	2.00000 	0.00000 	2.00000 	0.00000 	2.00000 	0.00000 	0.00000 	15.00000 	1.04878 	64.00000 	0.98333 	147.00000 	1.11417 
S19 	P2	110.72800 	44.49900 	963.40000 	0.13300 	0.01900 	7.13100 	133.01100 	5.19000 	131.38990 	5.38333 	0.13071 	132.55187 	5.18242 	0.11841 	0.11841 	34.54000 	8.09750 	7.26000 	0.27800 	0.05000 	-0.87200 	7.00000 	0.95000 	13.00000 	-0.61928 	0.03265 	-0.89032 	4.00000 	1.00000 	4.00000 	6281.00000 	0.71207 	8408.00000 	178.00000 	0.69725 	555.00000 	3.00000 	0.50000 	1.00000 	2.00000 	1.00000 	1.00000 	0.00000 	0.00000 	2.00000 	1.40000 	2.00000 	2.00000 	1.00000 	2.00000 	1.00000 	2.00000 	0.00000 	0.00000 	6.00000 	1.04878 	39.00000 	0.98333 	106.00000 	1.11417 
S19 	P3	110.72800 	44.49900 	963.40000 	0.13300 	0.01900 	7.13100 	133.01100 	5.19000 	131.38990 	5.38333 	0.13071 	132.55187 	5.18242 	0.11841 	0.11841 	41.55000 	7.93521 	5.87000 	0.56200 	0.07000 	-0.69900 	6.00000 	0.95000 	13.00000 	-0.11726 	0.03265 	-0.89032 	1.00000 	1.00000 	4.00000 	5313.00000 	0.71207 	8408.00000 	478.00000 	0.69725 	555.00000 	2.00000 	0.50000 	0.00000 	2.00000 	1.00000 	1.00000 	0.00000 	0.00000 	3.00000 	1.40000 	0.00000 	2.00000 	0.00000 	2.00000 	1.00000 	2.00000 	0.00000 	0.00000 	20.00000 	1.04878 	77.00000 	0.98333 	255.00000 	1.11417 
S20 	P1	116.55500 	43.53900 	1180.00000 	0.34600 	0.06100 	5.68100 	305.90400 	2.73900 	305.09995 	2.81983 	0.29756 	279.99697 	2.75025 	0.38051 	0.29756 	93.28000 	8.11572 	12.38500 	1.45100 	0.06500 	-0.13200 	9.00000 	0.68000 	14.00000 	1.26454 	-0.10157 	1.47827 	18.00000 	0.73333 	26.00000 	6183.00000 	0.76797 	11569.00000 	515.00000 	0.78233 	827.00000 	1.00000 	1.00000 	1.00000 	0.50000 	4.00000 	1.00000 	2.00000 	0.50000 	1.00000 	2.00000 	9.00000 	0.56522 	2.00000 	0.80000 	4.00000 	1.18182 	3.00000 	1.50000 	10.00000 	1.11765 	46.00000 	0.60773 	161.00000 	0.67895 
S20 	P2	116.55500 	43.53900 	1180.00000 	0.34600 	0.06100 	5.68100 	305.90400 	2.73900 	305.09995 	2.81983 	0.29756 	279.99697 	2.75025 	0.38051 	0.29756 	134.52000 	8.12484 	13.73100 	1.49100 	0.06800 	-0.05500 	10.00000 	0.68000 	14.00000 	1.06306 	-0.10157 	1.47827 	15.00000 	0.73333 	26.00000 	7410.00000 	0.76797 	11569.00000 	424.00000 	0.78233 	827.00000 	1.00000 	1.00000 	2.00000 	0.50000 	4.00000 	1.00000 	3.00000 	0.50000 	0.00000 	2.00000 	10.00000 	0.56522 	1.00000 	0.80000 	3.00000 	1.18182 	1.00000 	1.50000 	12.00000 	1.11765 	59.00000 	0.60773 	180.00000 	0.67895 
