Site	Plot	Lon	Lat	Alt	NDVI	SD	Stability	MAP	MAT	MAP_2010	MAT_2010	NDVI_2010	MAP_2011	MAT_2011	NDVI_2011	NDVI_2010_2011	ANPP_2010_2011	Soil_pH	SOC	TSN	TSP	SST	Plant_alpha	Plant_beta	Plant_gama	SB_alpha	SB_beta	SB_gama	Nema_alpha	Nema_beta	Nema_gama	Ba_alpha	Ba_beta	Ba_gama	Fu_alpha	Fu_beta	Fu_gama	AB_alpha	AB_beta	PB_alpha	PB_beta	PF_alpha	PF_beta	PR_alpha	PR_beta	SS_alpha	SS_beta	BF_alpha	BF_beta	FF_alpha	FF_beta	RF_alpha	RF_beta	OC_alpha	OC_beta	ECM_alpha	ECM_beta	Path_alpha	Path_beta	Sap_alpha	Sap_beta
S24 	P1	119.66600 	49.53300 	719.10000 	0.46900 	0.05700 	8.24500 	342.88000 	0.36500 	312.24027 	0.38400 	0.50087 	373.96977 	0.44067 	0.47735 	0.50087 	99.75000 	6.95659 	31.09900 	2.74000 	0.11400 	1.10500 	27.00000 	0.38462 	36.00000 	0.73187 	-0.53465 	0.32048 	20.00000 	0.26923 	22.00000 	5933.00000 	0.63902 	9603.00000 	313.00000 	1.10000 	553.00000 	2.00000 	0.71429 	4.00000 	0.63636 	16.00000 	1.08163 	4.00000 	0.33333 	1.00000 	0.50000 	11.00000 	0.15385 	3.00000 	0.50000 	4.00000 	0.25000 	2.00000 	0.50000 	1.00000 	1.25000 	58.00000 	0.81395 	181.00000 	0.99525 
S24 	P2	119.66600 	49.53300 	719.10000 	0.46900 	0.05700 	8.24500 	342.88000 	0.36500 	312.24027 	0.38400 	0.50087 	373.96977 	0.44067 	0.47735 	0.50087 	137.88000 	6.95659 	26.74500 	3.13300 	0.13300 	1.26000 	23.00000 	0.38462 	36.00000 	0.40197 	-0.53465 	0.32048 	20.00000 	0.26923 	22.00000 	5893.00000 	0.63902 	9603.00000 	206.00000 	1.10000 	553.00000 	1.00000 	0.71429 	3.00000 	0.63636 	16.00000 	1.08163 	2.00000 	0.33333 	1.00000 	0.50000 	9.00000 	0.15385 	4.00000 	0.50000 	5.00000 	0.25000 	2.00000 	0.50000 	2.00000 	1.25000 	40.00000 	0.81395 	122.00000 	0.99525 
S24 	P3	119.66600 	49.53300 	719.10000 	0.46900 	0.05700 	8.24500 	342.88000 	0.36500 	312.24027 	0.38400 	0.50087 	373.96977 	0.44067 	0.47735 	0.50087 	171.21000 	6.73689 	34.39100 	3.09300 	0.14300 	1.46600 	28.00000 	0.38462 	36.00000 	0.05654 	-0.53465 	0.32048 	12.00000 	0.26923 	22.00000 	5751.00000 	0.63902 	9603.00000 	271.00000 	1.10000 	553.00000 	4.00000 	0.71429 	4.00000 	0.63636 	17.00000 	1.08163 	3.00000 	0.33333 	0.00000 	0.50000 	6.00000 	0.15385 	1.00000 	0.50000 	3.00000 	0.25000 	2.00000 	0.50000 	1.00000 	1.25000 	31.00000 	0.81395 	118.00000 	0.99525 
S25 	P1	111.54500 	40.95100 	792.00000 	0.51300 	0.07600 	6.71600 	332.26900 	4.03200 	367.47212 	4.59384 	0.53344 	241.91221 	3.95666 	0.44253 	0.53344 	177.69000 	7.00447 	29.23700 	2.29300 	0.10700 	0.87600 	17.00000 	0.47368 	28.00000 	0.04858 	-0.01156 	-0.59061 	15.00000 	0.36364 	20.00000 	2763.00000 	1.07888 	5543.00000 	418.00000 	0.76829 	580.00000 	2.00000 	1.00000 	1.00000 	0.50000 	11.00000 	0.42105 	1.00000 	0.50000 	2.00000 	0.28600 	6.00000 	0.33333 	3.00000 	0.20000 	3.00000 	0.20000 	3.00000 	1.00000 	8.00000 	1.10000 	57.00000 	0.65306 	215.00000 	0.74580 
S25 	P2	111.54500 	40.95100 	792.00000 	0.51300 	0.07600 	6.71600 	332.26900 	4.03200 	367.47212 	4.59384 	0.53344 	241.91221 	3.95666 	0.44253 	0.53344 	160.12000 	7.24824 	38.76700 	3.14500 	0.14200 	1.55000 	23.00000 	0.47368 	28.00000 	-0.32614 	-0.01156 	-0.59061 	12.00000 	0.36364 	20.00000 	2790.00000 	1.07888 	5543.00000 	355.00000 	0.76829 	580.00000 	3.00000 	1.00000 	1.00000 	0.50000 	15.00000 	0.42105 	1.00000 	0.50000 	3.00000 	0.28600 	5.00000 	0.33333 	3.00000 	0.20000 	3.00000 	0.20000 	1.00000 	1.00000 	8.00000 	1.10000 	55.00000 	0.65306 	160.00000 	0.74580 
S25 	P3	111.54500 	40.95100 	792.00000 	0.51300 	0.07600 	6.71600 	332.26900 	4.03200 	367.47212 	4.59384 	0.53344 	241.91221 	3.95666 	0.44253 	0.53344 	83.63000 	7.21531 	26.95300 	2.12600 	0.11900 	0.85300 	17.00000 	0.47368 	28.00000 	-0.51347 	-0.01156 	-0.59061 	17.00000 	0.36364 	20.00000 	2446.00000 	1.07888 	5543.00000 	211.00000 	0.76829 	580.00000 	1.00000 	1.00000 	0.00000 	0.50000 	12.00000 	0.42105 	0.00000 	0.50000 	4.00000 	0.28600 	7.00000 	0.33333 	4.00000 	0.20000 	4.00000 	0.20000 	2.00000 	1.00000 	4.00000 	1.10000 	35.00000 	0.65306 	101.00000 	0.74580 
S26 	P1	101.88400 	38.90900 	1440.00000 	0.10200 	0.01700 	6.16200 	173.14700 	10.49300 	180.00229 	11.45158 	0.09985 	168.76516 	10.16717 	0.10465 	0.09985 	4.37000 	8.83552 	1.13800 	0.15300 	0.04300 	-1.31800 	8.00000 	0.17391 	9.00000 	-0.89628 	1.02482 	-1.09765 	15.00000 	0.67442 	24.00000 	2530.00000 	1.00306 	4579.00000 	120.00000 	1.15668 	312.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	1.00000 	0.20000 	7.00000 	0.16700 	9.00000 	0.37500 	3.00000 	0.63636 	2.00000 	1.50000 	1.00000 	2.00000 	4.00000 	1.43750 	29.00000 	0.86207 	64.00000 	0.93220 
S26 	P2	101.88400 	38.90900 	1440.00000 	0.10200 	0.01700 	6.16200 	173.14700 	10.49300 	180.00229 	11.45158 	0.09985 	168.76516 	10.16717 	0.10465 	0.09985 	11.07000 	8.88482 	1.52900 	0.14600 	0.04300 	-1.29100 	8.00000 	0.17391 	9.00000 	-1.13862 	1.02482 	-1.09765 	12.00000 	0.67442 	24.00000 	2040.00000 	1.00306 	4579.00000 	138.00000 	1.15668 	312.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	2.00000 	0.20000 	6.00000 	0.16700 	6.00000 	0.37500 	4.00000 	0.63636 	1.00000 	1.50000 	1.00000 	2.00000 	8.00000 	1.43750 	28.00000 	0.86207 	83.00000 	0.93220 
S26 	P3	101.88400 	38.90900 	1440.00000 	0.10200 	0.01700 	6.16200 	173.14700 	10.49300 	180.00229 	11.45158 	0.09985 	168.76516 	10.16717 	0.10465 	0.09985 	0.50000 	8.81587 	1.57600 	0.21100 	0.04200 	-1.27000 	7.00000 	0.17391 	9.00000 	-0.71623 	1.02482 	-1.09765 	16.00000 	0.67442 	24.00000 	2288.00000 	1.00306 	4579.00000 	176.00000 	1.15668 	312.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	2.00000 	0.20000 	5.00000 	0.16700 	9.00000 	0.37500 	4.00000 	0.63636 	3.00000 	1.50000 	0.00000 	2.00000 	4.00000 	1.43750 	30.00000 	0.86207 	89.00000 	0.93220 
S27 	P1	114.05300 	43.84700 	1065.00000 	0.20600 	0.03200 	6.35700 	211.97600 	4.10700 	213.90762 	4.25684 	0.22868 	177.71933 	4.21925 	0.15954 	0.22868 	53.66000 	7.88176 	6.19500 	0.65900 	0.03900 	-0.84800 	13.00000 	0.34211 	17.00000 	-0.10172 	0.82578 	-0.00422 	10.00000 	0.50000 	26.00000 	6182.00000 	0.94604 	8139.00000 	230.00000 	1.25650 	434.00000 	1.00000 	0.80000 	3.00000 	0.28571 	4.00000 	0.15385 	1.00000 	0.00000 	4.00000 	0.50000 	5.00000 	0.69565 	2.00000 	0.25000 	0.00000 	0.71429 	3.00000 	0.20000 	1.00000 	2.00000 	54.00000 	0.68182 	130.00000 	1.00649 
S27 	P2	114.05300 	43.84700 	1065.00000 	0.20600 	0.03200 	6.35700 	211.97600 	4.10700 	213.90762 	4.25684 	0.22868 	177.71933 	4.21925 	0.15954 	0.22868 	46.93000 	7.86402 	7.97700 	0.75600 	0.04000 	-0.72600 	12.00000 	0.34211 	17.00000 	-0.41448 	0.82578 	-0.00422 	22.00000 	0.50000 	26.00000 	2499.00000 	0.94604 	8139.00000 	134.00000 	1.25650 	434.00000 	2.00000 	0.80000 	2.00000 	0.28571 	4.00000 	0.15385 	1.00000 	0.00000 	3.00000 	0.50000 	9.00000 	0.69565 	5.00000 	0.25000 	4.00000 	0.71429 	4.00000 	0.20000 	0.00000 	2.00000 	44.00000 	0.68182 	79.00000 	1.00649 
S27 	P3	114.05300 	43.84700 	1065.00000 	0.20600 	0.03200 	6.35700 	211.97600 	4.10700 	213.90762 	4.25684 	0.22868 	177.71933 	4.21925 	0.15954 	0.22868 	24.03000 	7.96206 	4.61500 	0.53000 	0.04300 	-0.95800 	13.00000 	0.34211 	17.00000 	-0.01166 	0.82578 	-0.00422 	20.00000 	0.50000 	26.00000 	3866.00000 	0.94604 	8139.00000 	213.00000 	1.25650 	434.00000 	2.00000 	0.80000 	2.00000 	0.28571 	5.00000 	0.15385 	1.00000 	0.00000 	3.00000 	0.50000 	9.00000 	0.69565 	5.00000 	0.25000 	3.00000 	0.71429 	3.00000 	0.20000 	0.00000 	2.00000 	34.00000 	0.68182 	99.00000 	1.00649 
S28 	P1	113.05600 	43.73800 	1041.00000 	0.16300 	0.03300 	5.00600 	182.99500 	4.94200 	191.18252 	5.10450 	0.15787 	148.47401 	5.03783 	0.14223 	0.15787 	13.76000 	8.62150 	5.60700 	0.64500 	0.07500 	-0.64900 	7.00000 	0.32000 	11.00000 	0.34033 	-0.40774 	0.35050 	15.00000 	0.71429 	24.00000 	5300.00000 	0.65098 	9284.00000 	334.00000 	0.78115 	548.00000 	2.00000 	0.00000 	1.00000 	1.00000 	1.00000 	0.50000 	1.00000 	0.50000 	2.00000 	0.12500 	6.00000 	0.80000 	5.00000 	0.63636 	2.00000 	0.71429 	2.00000 	0.50000 	10.00000 	1.08696 	52.00000 	0.59574 	161.00000 	0.65063 
S28 	P2	113.05600 	43.73800 	1041.00000 	0.16300 	0.03300 	5.00600 	182.99500 	4.94200 	191.18252 	5.10450 	0.15787 	148.47401 	5.03783 	0.14223 	0.15787 	7.14000 	8.53529 	6.83800 	0.74300 	0.12000 	-0.25300 	8.00000 	0.32000 	11.00000 	0.14519 	-0.40774 	0.35050 	13.00000 	0.71429 	24.00000 	5769.00000 	0.65098 	9284.00000 	278.00000 	0.78115 	548.00000 	2.00000 	0.00000 	1.00000 	1.00000 	1.00000 	0.50000 	0.00000 	0.50000 	4.00000 	0.12500 	7.00000 	0.80000 	2.00000 	0.63636 	2.00000 	0.71429 	2.00000 	0.50000 	9.00000 	1.08696 	42.00000 	0.59574 	134.00000 	0.65063 
S28 	P3	113.05600 	43.73800 	1041.00000 	0.16300 	0.03300 	5.00600 	182.99500 	4.94200 	191.18252 	5.10450 	0.15787 	148.47401 	5.03783 	0.14223 	0.15787 	22.75000 	8.24423 	5.22800 	0.62700 	0.07200 	-0.69300 	10.00000 	0.32000 	11.00000 	0.31492 	-0.40774 	0.35050 	14.00000 	0.71429 	24.00000 	5801.00000 	0.65098 	9284.00000 	311.00000 	0.78115 	548.00000 	2.00000 	0.00000 	1.00000 	1.00000 	2.00000 	0.50000 	1.00000 	0.50000 	4.00000 	0.12500 	7.00000 	0.80000 	4.00000 	0.63636 	3.00000 	0.71429 	0.00000 	0.50000 	4.00000 	1.08696 	47.00000 	0.59574 	183.00000 	0.65063 
S29 	P1	120.42000 	49.12800 	706.30000 	0.55300 	0.03700 	14.77900 	374.16800 	0.10800 	345.86707 	0.18492 	0.52844 	409.64293 	0.06734 	0.54306 	0.52844 	139.94000 	6.54587 	27.89000 	2.35900 	0.11700 	0.93300 	38.00000 	0.76147 	64.00000 	1.04175 	-1.03672 	1.18420 	12.00000 	0.41818 	26.00000 	5626.00000 	0.63807 	9094.00000 	608.00000 	0.70270 	945.00000 	2.00000 	0.87500 	6.00000 	0.75000 	21.00000 	0.85294 	6.00000 	0.40000 	3.00000 	0.50000 	5.00000 	0.62500 	2.00000 	0.36364 	3.00000 	0.00000 	2.00000 	0.87500 	4.00000 	1.00000 	64.00000 	0.64331 	209.00000 	0.79783 
S29 	P2	120.42000 	49.12800 	706.30000 	0.55300 	0.03700 	14.77900 	374.16800 	0.10800 	345.86707 	0.18492 	0.52844 	409.64293 	0.06734 	0.54306 	0.52844 	184.81000 	6.62933 	24.13900 	2.09800 	0.10200 	0.67200 	43.00000 	0.76147 	64.00000 	1.04308 	-1.03672 	1.18420 	18.00000 	0.41818 	26.00000 	4590.00000 	0.63807 	9094.00000 	555.00000 	0.70270 	945.00000 	3.00000 	0.87500 	4.00000 	0.75000 	29.00000 	0.85294 	5.00000 	0.40000 	2.00000 	0.50000 	9.00000 	0.62500 	3.00000 	0.36364 	4.00000 	0.00000 	2.00000 	0.87500 	2.00000 	1.00000 	43.00000 	0.64331 	179.00000 	0.79783 
S29 	P3	120.42000 	49.12800 	706.30000 	0.55300 	0.03700 	14.77900 	374.16800 	0.10800 	345.86707 	0.18492 	0.52844 	409.64293 	0.06734 	0.54306 	0.52844 	305.60000 	6.83813 	40.84800 	3.57200 	0.14700 	1.74400 	28.00000 	0.76147 	64.00000 	1.72681 	-1.03672 	1.18420 	25.00000 	0.41818 	26.00000 	6439.00000 	0.63807 	9094.00000 	502.00000 	0.70270 	945.00000 	3.00000 	0.87500 	2.00000 	0.75000 	18.00000 	0.85294 	4.00000 	0.40000 	1.00000 	0.50000 	10.00000 	0.62500 	6.00000 	0.36364 	5.00000 	0.00000 	4.00000 	0.87500 	6.00000 	1.00000 	50.00000 	0.64331 	166.00000 	0.79783 
S30 	P1	112.04200 	43.55700 	961.70000 	0.15900 	0.02300 	6.97000 	164.93800 	5.93600 	175.01144 	6.13008 	0.16434 	137.94019 	5.98184 	0.14077 	0.16434 	27.31000 	8.52576 	2.31500 	0.24900 	0.02200 	-1.33800 	8.00000 	0.55556 	14.00000 	-1.10118 	0.33438 	-0.69863 	8.00000 	0.50000 	14.00000 	2788.00000 	0.81096 	8622.00000 	182.00000 	1.16293 	354.00000 	2.00000 	0.50000 	1.00000 	0.80000 	1.00000 	1.25000 	0.00000 	0.00000 	4.00000 	0.20000 	4.00000 	0.40000 	2.00000 	0.50000 	2.00000 	0.50000 	0.00000 	1.00000 	3.00000 	1.75000 	51.00000 	0.71074 	116.00000 	0.87255 
S30 	P2	112.04200 	43.55700 	961.70000 	0.15900 	0.02300 	6.97000 	164.93800 	5.93600 	175.01144 	6.13008 	0.16434 	137.94019 	5.98184 	0.14077 	0.16434 	41.96000 	8.86507 	1.78700 	0.18000 	0.01800 	-1.42600 	10.00000 	0.55556 	14.00000 	-0.43463 	0.33438 	-0.69863 	12.00000 	0.50000 	14.00000 	5183.00000 	0.81096 	8622.00000 	148.00000 	1.16293 	354.00000 	3.00000 	0.50000 	3.00000 	0.80000 	1.00000 	1.25000 	0.00000 	0.00000 	3.00000 	0.20000 	5.00000 	0.40000 	3.00000 	0.50000 	2.00000 	0.50000 	2.00000 	1.00000 	7.00000 	1.75000 	33.00000 	0.71074 	97.00000 	0.87255 
S30 	P3	112.04200 	43.55700 	961.70000 	0.15900 	0.02300 	6.97000 	164.93800 	5.93600 	175.01144 	6.13008 	0.16434 	137.94019 	5.98184 	0.14077 	0.16434 	45.83000 	8.66006 	2.13600 	0.23700 	0.02700 	-1.32500 	9.00000 	0.55556 	14.00000 	-0.40859 	0.33438 	-0.69863 	8.00000 	0.50000 	14.00000 	6312.00000 	0.81096 	8622.00000 	161.00000 	1.16293 	354.00000 	3.00000 	0.50000 	1.00000 	0.80000 	2.00000 	1.25000 	0.00000 	0.00000 	3.00000 	0.20000 	6.00000 	0.40000 	1.00000 	0.50000 	0.00000 	0.50000 	1.00000 	1.00000 	2.00000 	1.75000 	37.00000 	0.71074 	93.00000 	0.87255 
S31 	P1	108.29000 	41.82900 	1369.00000 	0.19100 	0.02400 	7.89400 	184.33100 	5.79500 	174.90686 	6.26367 	0.16913 	132.08751 	5.68825 	0.18687 	0.16913 	21.78000 	8.44986 	4.21500 	0.46400 	0.04500 	-0.99000 	5.00000 	0.58824 	9.00000 	0.40075 	-0.34032 	-0.21254 	14.00000 	0.39024 	19.00000 	5431.00000 	0.91996 	7580.00000 	366.00000 	0.76061 	581.00000 	0.00000 	0.00000 	1.00000 	0.20000 	3.00000 	0.66667 	0.00000 	0.00000 	1.00000 	0.50000 	8.00000 	0.44000 	3.00000 	0.28571 	2.00000 	0.20000 	1.00000 	0.50000 	6.00000 	2.00000 	52.00000 	0.54717 	161.00000 	0.64211 
S31 	P2	108.29000 	41.82900 	1369.00000 	0.19100 	0.02400 	7.89400 	184.33100 	5.79500 	174.90686 	6.26367 	0.16913 	132.08751 	5.68825 	0.18687 	0.16913 	23.32000 	8.39333 	3.91600 	0.43700 	0.03600 	-1.07800 	7.00000 	0.58824 	9.00000 	-0.22242 	-0.34032 	-0.21254 	14.00000 	0.39024 	19.00000 	3015.00000 	0.91996 	7580.00000 	331.00000 	0.76061 	581.00000 	0.00000 	0.00000 	2.00000 	0.20000 	4.00000 	0.66667 	0.00000 	0.00000 	1.00000 	0.50000 	9.00000 	0.44000 	2.00000 	0.28571 	2.00000 	0.20000 	1.00000 	0.50000 	0.00000 	2.00000 	50.00000 	0.54717 	153.00000 	0.64211 
S31 	P3	108.29000 	41.82900 	1369.00000 	0.19100 	0.02400 	7.89400 	184.33100 	5.79500 	174.90686 	6.26367 	0.16913 	132.08751 	5.68825 	0.18687 	0.16913 	22.27000 	8.40273 	3.93400 	0.44000 	0.04100 	-1.03900 	5.00000 	0.58824 	9.00000 	-0.31818 	-0.34032 	-0.21254 	13.00000 	0.39024 	19.00000 	3398.00000 	0.91996 	7580.00000 	293.00000 	0.76061 	581.00000 	0.00000 	0.00000 	2.00000 	0.20000 	2.00000 	0.66667 	0.00000 	0.00000 	1.00000 	0.50000 	8.00000 	0.44000 	2.00000 	0.28571 	1.00000 	0.20000 	2.00000 	0.50000 	1.00000 	2.00000 	57.00000 	0.54717 	161.00000 	0.64211 
S32 	P1	112.63900 	42.57900 	1143.00000 	0.20800 	0.03600 	5.83700 	229.61800 	5.77400 	256.09050 	6.03366 	0.19784 	176.13005 	5.67317 	0.21628 	0.19784 	69.53000 	8.73765 	4.98200 	0.58000 	0.06100 	-0.79500 	12.00000 	0.50000 	17.00000 	-0.28337 	0.43085 	-0.50578 	16.00000 	0.50000 	16.00000 	2276.00000 	1.02001 	8379.00000 	321.00000 	0.95853 	425.00000 	6.00000 	0.84615 	2.00000 	0.28571 	1.00000 	0.50000 	1.00000 	0.00000 	2.00000 	0.28600 	10.00000 	0.57143 	3.00000 	0.50000 	1.00000 	0.50000 	2.00000 	1.00000 	5.00000 	1.14286 	51.00000 	0.68103 	153.00000 	0.85423 
S32 	P2	112.63900 	42.57900 	1143.00000 	0.20800 	0.03600 	5.83700 	229.61800 	5.77400 	256.09050 	6.03366 	0.19784 	176.13005 	5.67317 	0.21628 	0.19784 	71.69000 	8.56394 	4.74700 	0.59300 	0.04300 	-0.92400 	15.00000 	0.50000 	17.00000 	-0.11637 	0.43085 	-0.50578 	10.00000 	0.50000 	16.00000 	7192.00000 	1.02001 	8379.00000 	153.00000 	0.95853 	425.00000 	7.00000 	0.84615 	2.00000 	0.28571 	2.00000 	0.50000 	1.00000 	0.00000 	3.00000 	0.28600 	7.00000 	0.57143 	2.00000 	0.50000 	1.00000 	0.50000 	0.00000 	1.00000 	7.00000 	1.14286 	31.00000 	0.68103 	84.00000 	0.85423 
S32 	P3	112.63900 	42.57900 	1143.00000 	0.20800 	0.03600 	5.83700 	229.61800 	5.77400 	256.09050 	6.03366 	0.19784 	176.13005 	5.67317 	0.21628 	0.19784 	56.99000 	8.29987 	4.94800 	0.56800 	0.04700 	-0.89400 	7.00000 	0.50000 	17.00000 	-1.20343 	0.43085 	-0.50578 	6.00000 	0.50000 	16.00000 	2976.00000 	1.02001 	8379.00000 	177.00000 	0.95853 	425.00000 	0.00000 	0.84615 	3.00000 	0.28571 	1.00000 	0.50000 	1.00000 	0.00000 	2.00000 	0.28600 	4.00000 	0.57143 	1.00000 	0.50000 	0.00000 	0.50000 	1.00000 	1.00000 	2.00000 	1.14286 	34.00000 	0.68103 	106.00000 	0.85423 
S33 	P1	101.77200 	38.93500 	1490.00000 	0.11600 	0.01300 	8.72700 	172.17200 	10.29300 	181.40389 	11.23559 	0.11427 	169.44485 	9.99408 	0.12431 	0.11427 	14.36000 	8.70848 	2.31500 	0.09100 	0.03100 	-1.34400 	5.00000 	0.41176 	8.00000 	-0.24503 	-0.03863 	-0.34176 	17.00000 	0.56000 	26.00000 	4006.00000 	0.69301 	7491.00000 	189.00000 	1.05821 	330.00000 	1.00000 	0.50000 	0.00000 	0.00000 	0.00000 	2.00000 	0.00000 	0.00000 	4.00000 	0.28600 	11.00000 	0.60714 	4.00000 	0.09091 	2.00000 	0.71429 	0.00000 	2.00000 	1.00000 	2.00000 	47.00000 	0.52381 	117.00000 	0.89362 
S33 	P2	101.77200 	38.93500 	1490.00000 	0.11600 	0.01300 	8.72700 	172.17200 	10.29300 	181.40389 	11.23559 	0.11427 	169.44485 	9.99408 	0.12431 	0.11427 	24.71000 	8.87494 	1.78700 	0.11100 	0.03700 	-1.33200 	5.00000 	0.41176 	8.00000 	-0.32930 	-0.03863 	-0.34176 	15.00000 	0.56000 	26.00000 	4740.00000 	0.69301 	7491.00000 	151.00000 	1.05821 	330.00000 	1.00000 	0.50000 	0.00000 	0.00000 	1.00000 	2.00000 	0.00000 	0.00000 	3.00000 	0.28600 	8.00000 	0.60714 	3.00000 	0.09091 	3.00000 	0.71429 	1.00000 	2.00000 	0.00000 	2.00000 	42.00000 	0.52381 	94.00000 	0.89362 
S33 	P3	101.77200 	38.93500 	1490.00000 	0.11600 	0.01300 	8.72700 	172.17200 	10.29300 	181.40389 	11.23559 	0.11427 	169.44485 	9.99408 	0.12431 	0.11427 	7.06000 	8.90461 	1.13800 	0.09800 	0.03200 	-1.41200 	7.00000 	0.41176 	8.00000 	-0.21347 	-0.03863 	-0.34176 	18.00000 	0.56000 	26.00000 	4528.00000 	0.69301 	7491.00000 	141.00000 	1.05821 	330.00000 	2.00000 	0.50000 	0.00000 	0.00000 	0.00000 	2.00000 	0.00000 	0.00000 	5.00000 	0.28600 	9.00000 	0.60714 	4.00000 	0.09091 	2.00000 	0.71429 	3.00000 	2.00000 	0.00000 	2.00000 	37.00000 	0.52381 	71.00000 	0.89362 
S34 	P1	120.02400 	49.52200 	657.30000 	0.54800 	0.04500 	12.31300 	359.47400 	-0.22600 	328.30362 	-0.18742 	0.55738 	391.54860 	-0.18092 	0.55986 	0.55738 	223.55000 	7.09300 	36.80500 	3.30900 	0.13200 	1.50100 	21.00000 	0.85714 	39.00000 	0.48293 	-0.35520 	0.43036 	12.00000 	0.36364 	25.00000 	6255.00000 	0.84194 	7843.00000 	377.00000 	0.87565 	719.00000 	0.00000 	0.50000 	3.00000 	0.33333 	16.00000 	1.08696 	1.00000 	0.00000 	1.00000 	0.00000 	7.00000 	0.33333 	2.00000 	0.75000 	1.00000 	0.12500 	2.00000 	0.12500 	1.00000 	2.00000 	59.00000 	0.57447 	219.00000 	0.74903 
S34 	P2	120.02400 	49.52200 	657.30000 	0.54800 	0.04500 	12.31300 	359.47400 	-0.22600 	328.30362 	-0.18742 	0.55738 	391.54860 	-0.18092 	0.55986 	0.55738 	196.72000 	6.55342 	39.75800 	3.39600 	0.13500 	1.59300 	28.00000 	0.85714 	39.00000 	0.02156 	-0.35520 	0.43036 	18.00000 	0.36364 	25.00000 	2305.00000 	0.84194 	7843.00000 	378.00000 	0.87565 	719.00000 	1.00000 	0.50000 	4.00000 	0.33333 	21.00000 	1.08696 	1.00000 	0.00000 	1.00000 	0.00000 	9.00000 	0.33333 	5.00000 	0.75000 	2.00000 	0.12500 	2.00000 	0.12500 	6.00000 	2.00000 	41.00000 	0.57447 	155.00000 	0.74903 
S34 	P3	120.02400 	49.52200 	657.30000 	0.54800 	0.04500 	12.31300 	359.47400 	-0.22600 	328.30362 	-0.18742 	0.55738 	391.54860 	-0.18092 	0.55986 	0.55738 	276.05000 	6.60648 	41.61200 	3.39500 	0.14600 	1.69200 	14.00000 	0.85714 	39.00000 	0.92838 	-0.35520 	0.43036 	25.00000 	0.36364 	25.00000 	4214.00000 	0.84194 	7843.00000 	395.00000 	0.87565 	719.00000 	1.00000 	0.50000 	2.00000 	0.33333 	9.00000 	1.08696 	1.00000 	0.00000 	1.00000 	0.00000 	11.00000 	0.33333 	5.00000 	0.75000 	5.00000 	0.12500 	4.00000 	0.12500 	0.00000 	2.00000 	41.00000 	0.57447 	144.00000 	0.74903 
S35 	P1	108.47700 	41.77800 	1543.00000 	0.17300 	0.02300 	7.40000 	191.80500 	5.07600 	183.72907 	5.55417 	0.15506 	137.06192 	4.99075 	0.16939 	0.15506 	36.77000 	8.59268 	7.56800 	0.70000 	0.09500 	-0.39900 	8.00000 	0.57895 	10.00000 	-0.36782 	0.09255 	-0.08678 	4.00000 	0.87500 	15.00000 	5465.00000 	0.72695 	9447.00000 	320.00000 	0.80719 	553.00000 	1.00000 	0.50000 	5.00000 	0.60000 	2.00000 	0.50000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	1.33333 	0.00000 	1.00000 	2.00000 	0.20000 	2.00000 	0.50000 	8.00000 	2.00000 	43.00000 	0.51079 	160.00000 	0.68670 
S35 	P2	108.47700 	41.77800 	1543.00000 	0.17300 	0.02300 	7.40000 	191.80500 	5.07600 	183.72907 	5.55417 	0.15506 	137.06192 	4.99075 	0.16939 	0.15506 	48.35000 	8.54483 	5.15300 	0.63900 	0.08600 	-0.60200 	7.00000 	0.57895 	10.00000 	0.21700 	0.09255 	-0.08678 	12.00000 	0.87500 	15.00000 	5575.00000 	0.72695 	9447.00000 	337.00000 	0.80719 	553.00000 	1.00000 	0.50000 	6.00000 	0.60000 	0.00000 	0.50000 	0.00000 	0.00000 	0.00000 	0.00000 	7.00000 	1.33333 	2.00000 	1.00000 	2.00000 	0.20000 	1.00000 	0.50000 	1.00000 	2.00000 	45.00000 	0.51079 	159.00000 	0.68670 
S35 	P3	108.47700 	41.77800 	1543.00000 	0.17300 	0.02300 	7.40000 	191.80500 	5.07600 	183.72907 	5.55417 	0.15506 	137.06192 	4.99075 	0.16939 	0.15506 	36.77000 	8.57351 	5.72500 	0.63000 	0.09100 	-0.53900 	4.00000 	0.57895 	10.00000 	-0.31007 	0.09255 	-0.08678 	8.00000 	0.87500 	15.00000 	5371.00000 	0.72695 	9447.00000 	261.00000 	0.80719 	553.00000 	0.00000 	0.50000 	4.00000 	0.60000 	0.00000 	0.50000 	0.00000 	0.00000 	0.00000 	0.00000 	2.00000 	1.33333 	4.00000 	1.00000 	1.00000 	0.20000 	1.00000 	0.50000 	0.00000 	2.00000 	51.00000 	0.51079 	147.00000 	0.68670 
